label,video,signer_id,repetition_id,raw_frames,fps,raw_duration_seconds,start_frame,end_frame,active_frames,active_duration_seconds,trim_percent,overall_left_rate,overall_right_rate,active_left_rate,active_right_rate,motion_threshold
&,&_01_1.mov,01,1,175,30.0,5.833,38,169,132,4.4,24.57,55.43,0.0,73.48,0.0,0.00392257
&,&_01_2.mov,01,2,160,30.0,5.333,17,141,125,4.167,21.88,41.88,0.0,53.6,0.0,0.00448136
&,&_02_1.mov,02,1,223,30.0,7.433,32,189,158,5.267,29.15,42.6,0.0,60.13,0.0,0.00426778
&,&_02_2.mov,02,2,166,30.0,5.533,32,128,97,3.233,41.57,35.54,0.0,60.82,0.0,0.00522607
&,&_05_1.mov,05,1,142,30.0,4.733,21,109,89,2.967,37.32,46.48,0.7,74.16,1.12,0.00759604
&,&_05_2.mov,05,2,141,30.0,4.7,42,140,99,3.3,29.79,44.68,0.0,63.64,0.0,0.00799189
++,++_02_1.mov,02,1,79,30.0,2.633,16,71,56,1.867,29.11,32.91,35.44,46.43,50.0,0.00903247
++,++_02_2.mov,02,2,124,30.0,4.133,25,119,95,3.167,23.39,53.23,53.23,69.47,69.47,0.0090858
++,++_03_1.mov,03,1,107,30.0,3.567,26,96,71,2.367,33.64,38.32,36.45,57.75,54.93,0.0100182
++,++_03_2.mov,03,2,153,30.0,5.1,32,143,112,3.733,26.8,50.98,48.37,69.64,66.07,0.00948221
++,++_06_1.mov,06,1,97,30.0,3.233,29,82,54,1.8,44.33,30.93,29.9,55.56,53.7,0.01223623
++,++_06_2.mov,06,2,106,30.0,3.533,16,87,72,2.4,32.08,44.34,44.34,65.28,65.28,0.01299691
- -,- -_02_1.mov,02,1,82,30.0,2.733,7,70,64,2.133,21.95,37.8,0.0,48.44,0.0,0.00579954
- -,- -_02_2.mov,02,2,139,30.0,4.633,22,132,111,3.7,20.14,53.24,0.0,66.67,0.0,0.00428658
- -,- -_03_1.mov,03,1,118,30.0,3.933,15,99,85,2.833,27.97,46.61,0.0,64.71,0.0,0.00467999
- -,- -_03_2.mov,03,2,137,30.0,4.567,17,130,114,3.8,16.79,51.09,0.0,61.4,0.0,0.00426665
- -,- -_06_1.mov,06,1,94,30.0,3.133,25,83,59,1.967,37.23,34.04,0.0,54.24,0.0,0.00623256
- -,- -_06_2.mov,06,2,114,30.0,3.8,21,99,79,2.633,30.7,45.61,0.0,65.82,0.0,0.00574565
_p,_p_02_1.mov,02,1,145,30.0,4.833,16,136,121,4.033,16.55,55.17,0.69,66.12,0.83,0.01017918
_p,_p_02_2.mov,02,2,160,30.0,5.333,24,143,120,4.0,25.0,51.88,1.88,69.17,2.5,0.00927332
_p,_p_03_1.mov,03,1,151,30.0,5.033,33,136,104,3.467,31.13,43.71,0.0,63.46,0.0,0.00739045
_p,_p_03_2.mov,03,2,229,30.0,7.633,47,217,171,5.7,25.33,57.21,0.0,76.61,0.0,0.00473471
_p,_p_05_1.mov,05,1,132,30.0,4.4,31,121,91,3.033,31.06,35.61,1.52,51.65,2.2,0.01350583
_p,_p_05_2.mov,05,2,142,30.0,4.733,23,122,100,3.333,29.58,50.0,0.0,71.0,0.0,0.01366207
Access,Access_02_1.mov,02,1,105,30.0,3.5,7,104,98,3.267,6.67,33.33,56.19,35.71,60.2,0.01388436
Access,Access_02_2.mov,02,2,214,30.0,7.133,38,200,163,5.433,23.83,32.71,46.73,42.94,61.35,0.00857982
Access,Access_03_1.mov,03,1,116,30.0,3.867,18,105,88,2.933,24.14,50.0,50.86,65.91,67.05,0.01059443
Access,Access_03_2.mov,03,2,164,30.0,5.467,20,151,132,4.4,19.51,57.93,50.0,71.97,62.12,0.00875496
Access,Access_06_1.mov,06,1,96,30.0,3.2,30,90,61,2.033,36.46,28.12,33.33,44.26,52.46,0.01293198
Access,Access_06_2.mov,06,2,119,30.0,3.967,28,110,83,2.767,30.25,42.02,42.86,60.24,61.45,0.01093572
Act,Act_01_1.mov,01,1,118,30.0,3.933,0,112,113,3.767,4.24,44.07,48.31,46.02,50.44,0.00909514
Act,Act_01_2.mov,01,2,165,30.0,5.5,30,150,121,4.033,26.67,44.85,57.58,61.16,78.51,0.00557006
Act,Act_02_1.mov,02,1,145,30.0,4.833,25,123,99,3.3,31.72,48.97,53.1,71.72,77.78,0.01031475
Act,Act_02_2.mov,02,2,157,30.0,5.233,24,149,126,4.2,19.75,58.6,64.33,73.02,80.16,0.00860417
Act,Act_07_1.mp4,07,1,59,25.0,2.36,1,58,58,2.32,1.69,76.27,79.66,77.59,81.03,0.02828092
Add,Add_03_1.mov,03,1,108,30.0,3.6,20,100,81,2.7,25.0,42.59,0.0,56.79,0.0,0.01056822
Add,Add_03_2.mov,03,2,133,30.0,4.433,35,125,91,3.033,31.58,40.6,0.0,59.34,0.0,0.00892979
Add,Add_05_1.mov,05,1,119,30.0,3.967,36,106,71,2.367,40.34,38.66,0.0,64.79,0.0,0.00745188
Add,Add_05_2.mov,05,2,126,30.0,4.2,33,111,79,2.633,37.3,38.1,0.0,60.76,0.0,0.00592301
Add,Add_06_1.mov,06,1,112,30.0,3.733,37,96,60,2.0,46.43,32.14,0.0,60.0,0.0,0.00995469
Add,Add_06_2.mov,06,2,120,30.0,4.0,39,109,71,2.367,40.83,37.5,0.0,63.38,0.0,0.00758916
Address,Address_02_1.mov,02,1,158,30.0,5.267,23,153,131,4.367,17.09,45.57,39.87,54.96,48.09,0.01079545
Address,Address_02_2.mov,02,2,243,30.0,8.1,43,240,198,6.6,18.52,48.15,35.39,59.09,43.43,0.00887853
Address,Address_03_1.mov,03,1,130,30.0,4.333,19,123,105,3.5,19.23,43.85,62.31,54.29,77.14,0.01401059
Address,Address_03_2.mov,03,2,195,30.0,6.5,29,190,162,5.4,16.92,39.49,66.15,47.53,79.63,0.01067227
Address,Address_06_1.mov,06,1,107,30.0,3.567,34,105,72,2.4,32.71,44.86,42.99,66.67,63.89,0.01463728
Address,Address_06_2.mov,06,2,146,30.0,4.867,30,144,115,3.833,21.23,45.21,60.96,57.39,77.39,0.01051605
After,After_01_1.mov,01,1,110,30.0,3.667,17,82,66,2.2,40.0,11.82,0.0,19.7,0.0,0.00326198
After,After_01_2.mov,01,2,133,30.0,4.433,0,132,133,4.433,0.0,6.77,0.0,6.77,0.0,0.00268083
After,After_05_1.mov,05,1,109,30.0,3.633,30,108,79,2.633,27.52,39.45,0.0,54.43,0.0,0.00488417
After,After_05_2.mov,05,2,109,30.0,3.633,27,108,82,2.733,24.77,41.28,0.0,54.88,0.0,0.0043415
After,After_06_1.mov,06,1,86,30.0,2.867,26,84,59,1.967,31.4,31.4,0.0,45.76,0.0,0.00483586
After,After_06_2.mov,06,2,99,30.0,3.3,0,98,99,3.3,0.0,23.23,0.0,23.23,0.0,0.00305745
Apply,apply_03_1.MOV,03,1,174,30.0,5.8,0,161,162,5.4,6.9,54.6,21.84,58.64,23.46,0.00884055
Apply,apply_03_2.MOV,03,2,111,30.0,3.7,18,105,88,2.933,20.72,42.34,22.52,53.41,28.41,0.01505252
Apply,apply_05_1.MOV,05,1,133,30.0,4.433,33,107,75,2.5,43.61,34.59,31.58,61.33,56.0,0.01375882
Apply,apply_05_2.MOV,05,2,129,30.0,4.3,29,118,90,3.0,30.23,48.84,40.31,70.0,57.78,0.009148
Apply,apply_06_1.MOV,06,1,117,30.0,3.9,25,87,63,2.1,46.15,33.33,28.21,61.9,52.38,0.01178162
Apply,apply_06_2.MOV,06,2,103,30.0,3.433,20,89,70,2.333,32.04,44.66,31.07,65.71,45.71,0.01125791
Array,Array_03_1.mov,03,1,105,30.0,3.5,26,104,79,2.633,24.76,40.0,43.81,53.16,58.23,0.01188324
Array,Array_03_2.mov,03,2,113,30.0,3.767,25,100,76,2.533,32.74,44.25,42.48,65.79,63.16,0.01073579
Array,Array_05_1.mov,05,1,150,30.0,5.0,47,132,86,2.867,42.67,38.0,37.33,66.28,65.12,0.00994676
Array,Array_05_2.mov,05,2,150,30.0,5.0,43,142,100,3.333,33.33,47.33,46.67,71.0,70.0,0.00891593
