label,video_count,status,missing_slots,duplicate_slots,invalid_names,label_mismatches,nested_folders,non_video_files,problems
&,6,ok,,,,,,,
++,6,review,01_1; 01_2; 05_1; 05_2,,++_03_1.mov; ++_03_2.mov; ++_06_1.mov; ++_06_2.mov,,,,invalid names: 4
- -,6,review,01_1; 01_2; 05_1; 05_2,,--_03_1.mov; --_03_2.mov; --_06_1.mov; --_06_2.mov,--_02_1.mov; --_02_2.mov,,,invalid names: 4; label mismatches: 2
_p,6,review,01_1; 01_2,,_p_03_1.mov; _p_03_2.mov,,,,invalid names: 2
Access,6,review,01_1; 01_2; 02_1; 05_1; 05_2,,Access_02_!.mov; Access_03_!.mov; Access_03_2.mov; Access_06_!.mov; Access_06_2.mov,,,,invalid names: 5
Act,5,review,05_1; 05_2,,Act_07_1.mp4,,,,invalid names: 1
Add,6,review,01_1; 01_2; 02_1; 02_2,,Add_03_1.mov; Add_03_2.mov; Add_06_1.mov; Add_06_2.mov,,,,invalid names: 4
Address,6,review,01_1; 01_2; 05_1; 05_2,,Address_03_1.mov; Address_03_2.mov; Address_06_1.mov; Address_06_2.mov,,,,invalid names: 4
After,6,review,02_1; 02_2,,After_06_1.mov; After_06_2.mov,,,,invalid names: 2
Apply,6,review,01_1; 01_2; 02_1; 02_2,,apply_03_1.MOV; apply_03_2.MOV; apply_06_1.MOV; apply_06_2.MOV,,,,invalid names: 4
Array,6,review,01_1; 01_2; 02_1; 02_2,,Array_03_1.mov; Array_03_2.mov; Array_06_1.mov; Array_06_2.mov,,,,invalid names: 4
Arrow,6,review,01_1; 01_2; 05_1; 05_2,,Arrow_03_1.mov; Arrow_03_2.mov; Arrow_06_1.mov; Arrow_06_2.mov,,,,invalid names: 4
Average,6,review,02_1; 02_2,,Average_06_1.mov; Average_06_2.mov,,,,invalid names: 2
Before,6,review,02_1; 02_2,,Before_06_1.mov; Before_06_2.mov,,,,invalid names: 2
Big,6,review,02_1; 02_2,,Big_06_1.mov; Big_06_2.mov,,,,invalid names: 2
Binary relationship,6,review,01_1; 01_2,,Binary relationship_03_1.mov; Binary relationship_03_2.mov,,,,invalid names: 2
Book,6,review,01_1; 01_2; 02_1; 02_2,,book_03_1.MOV; book_03_2.MOV; book_06_1.MOV; book_06_2.MOV,,,,invalid names: 4
Bool,6,review,02_1; 02_2,,Bool_06_1.mov; Bool_06_2.mov,,,,invalid names: 2
Box,6,review,01_1; 01_2; 02_1; 02_2; 05_2,,IMG_9097.MOV; IMG_9101.MOV; IMG_9102.MOV; IMG_9156.MOV; IMG_9157.MOV,,,,invalid names: 5
C++,6,ok,,,,,,,
Call,6,review,01_1; 01_2,,Call_03_1.mov; Call_03_2.mov,,,,invalid names: 2
Char,6,review,01_1; 01_2; 05_1; 05_2,,Char_03_1.mov; Char_03_2.mov; Char_06_1.mov; Char_06_2.mov,,,,invalid names: 4
Check,6,review,02_1; 02_2,,Check_06_1.mov; Check_06_2.mov,,,,invalid names: 2
Class,6,review,01_1; 01_2,,Class_03_1.mov; Class_03_2.mov,,,,invalid names: 2
Code,6,review,02_1; 02_2,,Code_06_1.mov; Code_06_2.mov,,,,invalid names: 2
Coin,6,review,01_1; 01_2; 02_1; 02_2,,coin_03_1.MOV; coin_03_2.MOV; coin_06_1.MOV; coin_06_2.MOV,,,,invalid names: 4
Colon,6,review,02_1; 02_2,,Colon_06_1.mov; Colon_06_2.mov,,,,invalid names: 2
Column,5,review,05_1; 05_2,,column_07_1.mp4,Collumn_02_1.mov,,,invalid names: 1; label mismatches: 1
Comment,6,review,02_1; 02_2,,Comment_06_1.mov; Comment_06_2.mov,,,,invalid names: 2
Compare,6,review,01_1; 01_2; 05_1; 05_2,,Compare_03_1.mov; Compare_03_2.mov; Compare_06_1.mov; Compare_06_2.mov,,,,invalid names: 4
Compiler,6,review,01_1; 01_2,,Compiler_03_1.mov; Compiler_03_2.mov,,,,invalid names: 2
Complex- composite,5,review,05_1; 05_2,,Complex_ composite_07_1.mp4,Complex_ composite_01_1.MOV; Complex_ composite_01_2.MOV; Complex_ composite_02_1.MOV; Complex_ composite_02_2.MOV,,,invalid names: 1; label mismatches: 4
Constant,6,ok,,,,,,,
Content,6,review,01_1; 01_2; 02_1; 02_2,,content_03_1.mov; content_03_2.mov; content_06_1.mov; content_06_2.mov,,,,invalid names: 4
Copy,6,review,01_1; 01_2; 02_1; 02_2,,copy_03_1.MOV; copy_03_2.MOV; copy_06_1.MOV; copy_06_2.MOV,,,,invalid names: 4
Cout-print-output,6,review,,,,cout_print_output_01_1.mov; cout_print_output_01_2.mov; cout_print_output_02_1.mov; cout_print_output_02_2.mov; cout_print_output_05_1.mov; cout_print_output_05_2.mov,,,label mismatches: 6
Create,6,review,02_1; 02_2,,Create_06_1.mov; Create_06_2.mov,,,,invalid names: 2
Customer,6,review,01_1; 01_2,,Customer_03_1.MOV; Customer_03_2.MOV,,,,invalid names: 2
Data,6,ok,,,,,,,
Database,5,review,05_1; 05_2,,database_07_1.mp4,,,,invalid names: 1
Datatype,6,ok,,,,,,,
Date,5,review,05_1; 05_2,,date_07_1.mp4,,,,invalid names: 1
Declare,6,review,01_1; 01_2; 05_1; 05_2,,Declare_03_1.mov; Declare_03_2.mov; Declare_06_1.mov; Declare_06_2.mov,,,,invalid names: 4
Definition,6,review,02_1; 02_2,,Definition_06_1.mov; Definition_06_2.mov,,,,invalid names: 2
Delete-remove-pop,6,review,,,,delete_remove_pop_01_1.mov; delete_remove_pop_01_2.mov; delete_remove_pop_02_1.mov; delete_remove_pop_02_2.mov; delete_remove_pop_05_1.mov; delete_remove_pop_05_2.mov,,,label mismatches: 6
Depend,6,review,01_1; 01_2,,Depend_03_1.MOV; Depend_03_2.MOV,,,,invalid names: 2
