label,video_count,status,invalid_names,duplicate_slots,duplicate_content,unreadable_videos,nested_folders,non_video_files,problems
&,6,ok,,,,,,,
++,6,ok,,,,,,,
- -,6,ok,,,,,,,
_p,6,ok,,,,,,,
Access,6,ok,,,,,,,
Act,5,ok,,,,,,,
Add,6,ok,,,,,,,
Address,6,ok,,,,,,,
After,6,ok,,,,,,,
Apply,6,ok,,,,,,,
Array,6,ok,,,,,,,
Arrow,6,ok,,,,,,,
Average,6,ok,,,,,,,
Before,6,ok,,,,,,,
Big,6,ok,,,,,,,
Binary relationship,6,ok,,,,,,,
Book,6,ok,,,,,,,
Bool,6,ok,,,,,,,
Box,6,ok,,,,,,,
C++,6,ok,,,,,,,
Call,6,ok,,,,,,,
Char,6,ok,,,,,,,
Check,6,ok,,,,,,,
Class,6,ok,,,,,,,
Code,6,ok,,,,,,,
Coin,6,ok,,,,,,,
Colon,6,ok,,,,,,,
Column,5,ok,,,,,,,
Comment,6,ok,,,,,,,
Compare,6,ok,,,,,,,
Compiler,6,ok,,,,,,,
Complex- composite,5,ok,,,,,,,
Constant,6,ok,,,,,,,
Content,6,ok,,,,,,,
Copy,6,ok,,,,,,,
Cout-print-output,6,ok,,,,,,,
Create,6,ok,,,,,,,
Customer,6,ok,,,,,,,
Data,6,ok,,,,,,,
Database,5,ok,,,,,,,
Datatype,6,ok,,,,,,,
Date,5,ok,,,,,,,
Declare,6,ok,,,,,,,
Definition,6,ok,,,,,,,
Delete-remove-pop,6,ok,,,,,,,
Depend,6,ok,,,,,,,
Derived,5,ok,,,,,,,
Description,6,ok,,,,,,,
Destroy,6,ok,,,,,,,
Diamond,5,ok,,,,,,,
Disjoint,5,ok,,,,,,,
Domain,5,ok,,,,,,,
dot operator,6,ok,,,,,,,
Double,6,ok,,,,,,,
element,6,ok,,,,,,,
Else,6,ok,,,,,,,
End,6,ok,,,,,,,
Equal_equlaity,6,ok,,,,,,,
Error,6,ok,,,,,,,
Example,6,ok,,,,,,,
Exercise,6,ok,,,,,,,
Exist,6,ok,,,,,,,
Figure,6,ok,,,,,,,
First out,8,ok,,,,,,,
Foreign key,5,ok,,,,,,,
Front,6,ok,,,,,,,
Full,6,ok,,,,,,,
Function,5,ok,,,,,,,
Graphics,6,ok,,,,,,,
Hashtag,6,ok,,,,,,,
Higher,6,ok,,,,,,,
Hold,6,ok,,,,,,,
Id- identifier,6,ok,,,,,,,
If,6,ok,,,,,,,
Inaccessible,6,ok,,,,,,,
Include,6,ok,,,,,,,
Index,6,ok,,,,,,,
Information,5,ok,,,,,,,
Initialize,6,ok,,,,,,,
Input-enter,6,ok,,,,,,,
int,6,ok,,,,,,,
Last in,6,ok,,,,,,,
Library,6,ok,,,,,,,
Line,6,ok,,,,,,,
List,6,ok,,,,,,,
Logical,5,ok,,,,,,,
Loop,6,ok,,,,,,,
Many to many,6,ok,,,,,,,
Many to one,6,ok,,,,,,,
Max,6,ok,,,,,,,
Memory,6,ok,,,,,,,
Memory leak,6,ok,,,,,,,
Message,6,ok,,,,,,,
Min,6,ok,,,,,,,
Multiple,6,ok,,,,,,,
Name,5,ok,,,,,,,
New,6,ok,,,,,,,
Next,6,ok,,,,,,,
Non binary relationship,6,ok,,,,,,,
Null,6,ok,,,,,,,
Object,6,ok,,,,,,,
One to many,6,ok,,,,,,,
One to one,6,ok,,,,,,,
Operation,6,ok,,,,,,,
Order,6,ok,,,,,,,
Page,6,ok,,,,,,,
Pointer,6,ok,,,,,,,
Primary key,6,ok,,,,,,,
Priority,6,ok,,,,,,,
Private,6,ok,,,,,,,
Procedure,5,ok,,,,,,,
Produce,5,ok,,,,,,,
Program,6,ok,,,,,,,
Prompt,6,ok,,,,,,,
Public,6,ok,,,,,,,
Queue,6,ok,,,,,,,
Rear,6,ok,,,,,,,
Rectangle,5,ok,,,,,,,
Relation,6,ok,,,,,,,
Represent,5,ok,,,,,,,
Reserved,6,ok,,,,,,,
Row,5,ok,,,,,,,
Rules,6,ok,,,,,,,
Run,6,ok,,,,,,,
Run time error,6,ok,,,,,,,
Semicolon,6,ok,,,,,,,
Sequence,6,ok,,,,,,,
Server,5,ok,,,,,,,
Simple_Basic,5,ok,,,,,,,
Size,6,ok,,,,,,,
Small,6,ok,,,,,,,
Source,6,ok,,,,,,,
Specify,6,ok,,,,,,,
Stack,5,ok,,,,,,,
Start,6,ok,,,,,,,
Step,6,ok,,,,,,,
store,6,ok,,,,,,,
Straightforward- clear,5,ok,,,,,,,
String,6,ok,,,,,,,
Strong,5,ok,,,,,,,
Structure,5,ok,,,,,,,
Student,5,ok,,,,,,,
Subtract,6,ok,,,,,,,
Super key,6,ok,,,,,,,
System,6,ok,,,,,,,
Table,5,ok,,,,,,,
Template,5,ok,,,,,,,
Terminate-end,6,ok,,,,,,,
Ternary,6,ok,,,,,,,
Top,6,ok,,,,,,,
Total-Summation,6,ok,,,,,,,
Transaction,6,ok,,,,,,,
Transform,5,ok,,,,,,,
Under-down-below,6,ok,,,,,,,
Union,5,ok,,,,,,,
Unnecessary,6,ok,,,,,,,
Unrelated,6,ok,,,,,,,
Up-above,6,ok,,,,,,,
Update,5,ok,,,,,,,
User,6,ok,,,,,,,
Value-arithmetic,12,ok,,,,,,,
Variable,6,ok,,,,,,,
Very,6,ok,,,,,,,
With-within,6,ok,,,,,,,
Zero,6,ok,,,,,,,
