sample_index,label_id,label,video,signer_id,repetition_id,raw_frames,start_frame,end_frame,active_frames_used,target_frames,left_observed_rate,right_observed_rate,left_short_gap_imputed_rate,right_short_gap_imputed_rate,landmark_file
0,0,&,&_01_1.mov,01,1,175,38,169,132,200,73.5,0.0,0.0,0.0,&\&_01_1.npy
1,0,&,&_01_2.mov,01,2,160,17,141,125,200,54.0,0.0,0.0,0.0,&\&_01_2.npy
2,0,&,&_02_1.mov,02,1,223,32,189,158,200,60.0,0.0,0.0,0.0,&\&_02_1.npy
3,0,&,&_02_2.mov,02,2,166,32,128,97,200,61.0,0.0,0.0,0.0,&\&_02_2.npy
4,0,&,&_05_1.mov,05,1,142,21,109,89,200,74.5,1.0,0.0,0.0,&\&_05_1.npy
5,0,&,&_05_2.mov,05,2,141,42,140,99,200,64.0,0.0,0.0,0.0,&\&_05_2.npy
6,1,++,++_02_1.mov,02,1,79,16,71,56,200,46.5,50.5,2.0,0.0,++\++_02_1.npy
7,1,++,++_02_2.mov,02,2,124,25,119,95,200,70.0,70.0,0.0,0.0,++\++_02_2.npy
8,1,++,++_03_1.mov,03,1,107,26,96,71,200,58.5,55.5,0.0,0.0,++\++_03_1.npy
9,1,++,++_03_2.mov,03,2,153,32,143,112,200,69.5,66.0,3.0,6.5,++\++_03_2.npy
10,1,++,++_06_1.mov,06,1,97,29,82,54,200,56.5,54.5,2.0,0.0,++\++_06_1.npy
11,1,++,++_06_2.mov,06,2,106,16,87,72,200,66.0,65.5,0.0,0.0,++\++_06_2.npy
12,2,- -,- -_02_1.mov,02,1,82,7,70,64,200,49.0,0.0,1.5,0.0,- -\- -_02_1.npy
13,2,- -,- -_02_2.mov,02,2,139,22,132,111,200,67.0,0.0,0.0,0.0,- -\- -_02_2.npy
14,2,- -,- -_03_1.mov,03,1,118,15,99,85,200,65.5,0.0,0.0,0.0,- -\- -_03_1.npy
15,2,- -,- -_03_2.mov,03,2,137,17,130,114,200,61.5,0.0,0.0,0.0,- -\- -_03_2.npy
16,2,- -,- -_06_1.mov,06,1,94,25,83,59,200,54.5,0.0,0.0,0.0,- -\- -_06_1.npy
17,2,- -,- -_06_2.mov,06,2,114,21,99,79,200,66.5,0.0,0.0,0.0,- -\- -_06_2.npy
18,3,_p,_p_02_1.mov,02,1,145,16,136,121,200,66.0,1.0,5.5,0.0,_p\_p_02_1.npy
19,3,_p,_p_02_2.mov,02,2,160,24,143,120,200,69.5,2.5,1.0,0.0,_p\_p_02_2.npy
20,3,_p,_p_03_1.mov,03,1,151,33,136,104,200,64.0,0.0,2.0,0.0,_p\_p_03_1.npy
21,3,_p,_p_03_2.mov,03,2,229,47,217,171,200,76.5,0.0,1.5,0.0,_p\_p_03_2.npy
22,3,_p,_p_05_1.mov,05,1,132,31,121,91,200,51.5,2.5,5.0,0.0,_p\_p_05_1.npy
23,3,_p,_p_05_2.mov,05,2,142,23,122,100,200,71.0,0.0,3.0,0.0,_p\_p_05_2.npy
24,4,Access,Access_02_1.mov,02,1,105,7,104,98,200,35.5,61.0,1.5,8.0,Access\Access_02_1.npy
25,4,Access,Access_02_2.mov,02,2,214,38,200,163,200,43.0,61.5,1.0,6.5,Access\Access_02_2.npy
26,4,Access,Access_03_1.mov,03,1,116,18,105,88,200,66.0,67.5,1.5,0.0,Access\Access_03_1.npy
27,4,Access,Access_03_2.mov,03,2,164,20,151,132,200,72.0,62.0,0.0,2.0,Access\Access_03_2.npy
28,4,Access,Access_06_1.mov,06,1,96,30,90,61,200,45.0,53.0,11.5,6.5,Access\Access_06_1.npy
29,4,Access,Access_06_2.mov,06,2,119,28,110,83,200,61.0,62.0,12.0,3.5,Access\Access_06_2.npy
30,5,Act,Act_01_1.mov,01,1,118,0,112,113,200,46.5,50.5,0.5,0.0,Act\Act_01_1.npy
31,5,Act,Act_01_2.mov,01,2,165,30,150,121,200,61.5,79.0,0.0,0.0,Act\Act_01_2.npy
32,5,Act,Act_02_1.mov,02,1,145,25,123,99,200,72.0,78.0,5.0,0.0,Act\Act_02_1.npy
33,5,Act,Act_02_2.mov,02,2,157,24,149,126,200,73.5,80.5,7.0,0.0,Act\Act_02_2.npy
34,5,Act,Act_07_1.mp4,07,1,59,1,58,58,200,78.5,82.0,0.0,2.0,Act\Act_07_1.npy
35,6,Add,Add_03_1.mov,03,1,108,20,100,81,200,57.0,0.0,0.0,0.0,Add\Add_03_1.npy
36,6,Add,Add_03_2.mov,03,2,133,35,125,91,200,59.5,0.0,0.0,0.0,Add\Add_03_2.npy
37,6,Add,Add_05_1.mov,05,1,119,36,106,71,200,65.0,0.0,0.0,0.0,Add\Add_05_1.npy
38,6,Add,Add_05_2.mov,05,2,126,33,111,79,200,61.5,0.0,0.0,0.0,Add\Add_05_2.npy
39,6,Add,Add_06_1.mov,06,1,112,37,96,60,200,60.5,0.0,2.0,0.0,Add\Add_06_1.npy
40,6,Add,Add_06_2.mov,06,2,120,39,109,71,200,63.5,0.0,1.5,0.0,Add\Add_06_2.npy
41,7,Address,Address_02_1.mov,02,1,158,23,153,131,200,55.5,47.0,0.5,29.0,Address\Address_02_1.npy
42,7,Address,Address_02_2.mov,02,2,243,43,240,198,200,59.0,43.5,0.5,38.0,Address\Address_02_2.npy
43,7,Address,Address_03_1.mov,03,1,130,19,123,105,200,54.5,77.5,1.0,0.0,Address\Address_03_1.npy
44,7,Address,Address_03_2.mov,03,2,195,29,190,162,200,46.5,79.0,1.0,2.5,Address\Address_03_2.npy
45,7,Address,Address_06_1.mov,06,1,107,34,105,72,200,67.0,64.5,0.0,1.5,Address\Address_06_1.npy
46,7,Address,Address_06_2.mov,06,2,146,30,144,115,200,57.5,77.5,0.0,0.0,Address\Address_06_2.npy
47,8,After,After_01_1.mov,01,1,110,17,82,66,200,20.0,0.0,7.5,0.0,After\After_01_1.npy
48,8,After,After_01_2.mov,01,2,133,0,132,133,200,7.0,0.0,0.0,0.0,After\After_01_2.npy
49,8,After,After_05_1.mov,05,1,109,30,108,79,200,54.5,0.0,1.5,0.0,After\After_05_1.npy
50,8,After,After_05_2.mov,05,2,109,27,108,82,200,55.0,0.0,4.0,0.0,After\After_05_2.npy
51,8,After,After_06_1.mov,06,1,86,26,84,59,200,47.0,0.0,15.0,0.0,After\After_06_1.npy
52,8,After,After_06_2.mov,06,2,99,0,98,99,200,23.0,0.0,1.0,0.0,After\After_06_2.npy
53,9,Apply,apply_03_1.MOV,03,1,174,0,161,162,200,59.0,24.5,0.0,13.5,Apply\apply_03_1.npy
54,9,Apply,apply_03_2.MOV,03,2,111,18,105,88,200,53.5,28.0,1.5,4.0,Apply\apply_03_2.npy
55,9,Apply,apply_05_1.MOV,05,1,133,33,107,75,200,61.5,56.5,8.5,4.0,Apply\apply_05_1.npy
56,9,Apply,apply_05_2.MOV,05,2,129,29,118,90,200,70.5,58.0,1.0,2.5,Apply\apply_05_2.npy
57,9,Apply,apply_06_1.MOV,06,1,117,25,87,63,200,62.5,53.0,0.0,1.5,Apply\apply_06_1.npy
58,9,Apply,apply_06_2.MOV,06,2,103,20,89,70,200,66.5,45.5,1.5,7.5,Apply\apply_06_2.npy
59,10,Array,Array_03_1.mov,03,1,105,26,104,79,200,54.0,58.0,7.5,3.0,Array\Array_03_1.npy
60,10,Array,Array_03_2.mov,03,2,113,25,100,76,200,66.0,63.5,4.0,1.5,Array\Array_03_2.npy
61,10,Array,Array_05_1.mov,05,1,150,47,132,86,200,67.0,65.5,0.0,0.0,Array\Array_05_1.npy
62,10,Array,Array_05_2.mov,05,2,150,43,142,100,200,71.0,70.0,0.0,0.0,Array\Array_05_2.npy
63,10,Array,Array_06_1.mov,06,1,128,28,102,75,200,70.0,67.0,1.5,3.0,Array\Array_06_1.npy
64,10,Array,Array_06_2.mov,06,2,109,22,107,86,200,73.5,73.5,3.0,1.5,Array\Array_06_2.npy
65,11,Arrow,Arrow_02_1.mov,02,1,126,25,115,91,200,50.0,59.5,0.0,0.0,Arrow\Arrow_02_1.npy
66,11,Arrow,Arrow_02_2.mov,02,2,201,40,200,161,200,52.0,69.0,0.0,0.5,Arrow\Arrow_02_2.npy
67,11,Arrow,Arrow_03_1.mov,03,1,115,21,100,80,200,67.0,60.0,0.0,4.0,Arrow\Arrow_03_1.npy
68,11,Arrow,Arrow_03_2.mov,03,2,190,37,168,132,200,69.0,63.0,0.0,1.5,Arrow\Arrow_03_2.npy
69,11,Arrow,Arrow_06_1.mov,06,1,95,14,78,65,200,59.0,29.5,0.0,3.5,Arrow\Arrow_06_1.npy
70,11,Arrow,Arrow_06_2.mov,06,2,125,32,111,80,200,68.0,58.0,0.0,7.5,Arrow\Arrow_06_2.npy
71,12,Average,Average_01_1.mov,01,1,113,17,112,96,200,66.0,56.5,2.0,3.0,Average\Average_01_1.npy
72,12,Average,Average_01_2.mov,01,2,188,15,170,156,200,58.5,57.5,7.0,4.5,Average\Average_01_2.npy
73,12,Average,Average_05_1.mov,05,1,129,27,106,80,200,72.0,68.0,0.0,0.0,Average\Average_05_1.npy
74,12,Average,Average_05_2.mov,05,2,173,29,145,117,200,78.0,74.5,2.5,1.0,Average\Average_05_2.npy
75,12,Average,Average_06_1.mov,06,1,120,22,111,90,200,77.0,73.5,0.0,3.5,Average\Average_06_1.npy
76,12,Average,Average_06_2.mov,06,2,133,28,130,103,200,76.0,72.0,1.0,3.0,Average\Average_06_2.npy
77,13,Before,Before_01_1.mov,01,1,117,26,92,67,200,35.0,0.0,0.0,0.0,Before\Before_01_1.npy
78,13,Before,Before_01_2.mov,01,2,162,0,138,139,200,24.0,0.0,8.0,0.0,Before\Before_01_2.npy
79,13,Before,Before_05_1.mov,05,1,102,31,95,65,200,48.5,0.0,1.5,0.0,Before\Before_05_1.npy
80,13,Before,Before_05_2.mov,05,2,103,0,102,103,200,43.5,0.0,0.0,0.0,Before\Before_05_2.npy
81,13,Before,Before_06_1.mov,06,1,94,25,76,52,200,52.5,0.0,4.0,0.0,Before\Before_06_1.npy
82,13,Before,Before_06_2.mov,06,2,100,29,94,66,200,50.5,0.0,4.5,0.0,Before\Before_06_2.npy
83,14,Big,Big_01_1.mov,01,1,92,9,84,76,200,51.5,43.5,0.0,8.0,Big\Big_01_1.npy
84,14,Big,Big_01_2.mov,01,2,139,16,138,123,200,62.5,43.0,0.0,10.0,Big\Big_01_2.npy
85,14,Big,Big_05_1.mov,05,1,102,31,98,68,200,56.5,52.0,1.5,4.5,Big\Big_05_1.npy
86,14,Big,Big_05_2.mov,05,2,125,31,113,83,200,66.0,61.5,1.0,4.0,Big\Big_05_2.npy
87,14,Big,Big_06_1.mov,06,1,82,22,76,55,200,44.0,42.5,2.0,0.0,Big\Big_06_1.npy
88,14,Big,Big_06_2.mov,06,2,101,22,97,76,200,51.5,46.5,1.5,0.0,Big\Big_06_2.npy
89,15,Binary relationship,Binary relationship_02_1.mov,02,1,139,10,138,129,200,78.0,22.5,2.0,0.5,Binary relationship\Binary relationship_02_1.npy
90,15,Binary relationship,Binary relationship_02_2.mov,02,2,257,34,256,223,200,80.5,24.0,0.5,8.0,Binary relationship\Binary relationship_02_2.npy
91,15,Binary relationship,Binary relationship_03_1.mov,03,1,175,32,165,134,200,70.5,26.5,5.0,1.0,Binary relationship\Binary relationship_03_1.npy
92,15,Binary relationship,Binary relationship_03_2.mov,03,2,254,34,234,201,200,80.0,31.5,0.5,0.0,Binary relationship\Binary relationship_03_2.npy
93,15,Binary relationship,Binary relationship_05_1.mov,05,1,168,38,153,116,200,57.0,22.0,6.0,13.5,Binary relationship\Binary relationship_05_1.npy
94,15,Binary relationship,Binary relationship_05_2.mov,05,2,198,33,195,163,200,59.0,12.0,6.0,6.0,Binary relationship\Binary relationship_05_2.npy
95,16,Book,book_03_1.MOV,03,1,126,16,105,90,200,67.5,54.5,3.0,9.5,Book\book_03_1.npy
96,16,Book,book_03_2.MOV,03,2,125,20,87,68,200,53.5,57.5,11.5,7.5,Book\book_03_2.npy
97,16,Book,book_05_1.MOV,05,1,133,38,132,95,200,62.5,44.5,0.0,6.5,Book\book_05_1.npy
98,16,Book,book_05_2.MOV,05,2,121,27,104,78,200,57.0,42.5,1.0,6.5,Book\book_05_2.npy
99,16,Book,book_06_1.MOV,06,1,123,31,116,86,200,73.0,71.5,1.0,0.0,Book\book_06_1.npy
100,16,Book,book_06_2.MOV,06,2,120,26,81,56,200,55.0,49.0,1.5,0.0,Book\book_06_2.npy
101,17,Bool,Bool_01_1.mov,01,1,97,13,91,79,200,69.0,0.0,0.0,0.0,Bool\Bool_01_1.npy
102,17,Bool,Bool_01_2.mov,01,2,178,24,163,140,200,63.0,0.0,1.5,0.0,Bool\Bool_01_2.npy
103,17,Bool,Bool_05_1.mov,05,1,99,27,91,65,200,59.0,0.0,0.0,0.0,Bool\Bool_05_1.npy
