sign_id,karsl_arabic,karsl_english,normalized_variants,already_in_isharah,already_in_jordanian_it,status
2,1,1,1,False,False,NEW
3,2,2,2,False,False,NEW
4,3,3,3,False,False,NEW
5,4,4,4,False,False,NEW
6,5,5,5,False,False,NEW
7,6,6,6,False,False,NEW
8,7,7,7,False,False,NEW
9,8,8,8,False,False,NEW
10,9,9,9,False,False,NEW
11,10,10,10,False,False,NEW
12,20,20,20,False,False,NEW
13,30,30,30,False,False,NEW
14,40,40,40,False,False,NEW
15,50,50,50,False,False,NEW
16,60,60,60,False,False,NEW
17,70,70,70,False,False,NEW
18,80,80,80,False,False,NEW
19,90,90,90,False,False,NEW
20,100,100,100,False,False,NEW
21,200,200,200,False,False,NEW
22,300,300,300,False,False,NEW
23,400,400,400,False,False,NEW
24,500,500,500,False,False,NEW
25,600,600,600,False,False,NEW
26,700,700,700,False,False,NEW
27,800,800,800,False,False,NEW
28,900,900,900,False,False,NEW
29,1000,1000,1000,False,False,NEW
30,1000000,1000000,1000000,False,False,NEW
31,10000000,10000000,10000000,False,False,NEW
32,ا,alif,ا,True,False,OVERLAP
33,ب,baa,ب,True,False,OVERLAP
34,ت,ta,ت,True,False,OVERLAP
35,ث,tha,ث,False,False,NEW
36,ج,Jiim,ج,True,False,OVERLAP
37,ح,Haa,ح,True,False,OVERLAP
38,خ,kha,خ,True,False,OVERLAP
39,د,daal,د,True,False,OVERLAP
40,ذ,thal,ذ,False,False,NEW
41,ر,raa,ر,True,False,OVERLAP
42,ز,zay,ز,True,False,OVERLAP
43,س,siin,س,True,False,OVERLAP
44,ش,shiin,ش,False,False,NEW
45,ص,Saad,ص,False,False,NEW
46,ض,Daad,ض,False,False,NEW
47,ط,Taa,ط,False,False,NEW
48,ظ,Zaa,ظ,False,False,NEW
49,ع,Ayn,ع,True,False,OVERLAP
50,غ,ghayn,غ,False,False,NEW
51,ف,faa,ف,False,False,NEW
52,ق,qaaf,ق,True,False,OVERLAP
53,ك,kaaf,ك,False,False,NEW
54,ل,laam,ل,True,False,OVERLAP
55,م,miim,م,True,False,OVERLAP
56,ن,noon,ن,True,False,OVERLAP
57,ه,haa,ه,True,False,OVERLAP
58,و,waaw,و,True,False,OVERLAP
59,ي,yaa,ي,True,False,OVERLAP
60,ة,taa marbuuTa,ة,False,False,NEW
61,أ,alif with hamza above,ا,True,False,OVERLAP
62,ؤ,Waaw with hamza,ؤ,False,False,NEW
63,ئ,Alif maqsoura with hamza,ئ,False,False,NEW
64,ئـ,hamza on line,ئ,False,False,NEW
65,ء,hamza,ء,False,False,NEW
66,إ,alif with hamza below,ا,True,False,OVERLAP
67,آ,ALif with maad,ا,True,False,OVERLAP
68,ى,Alif maqsoura,ي,True,False,OVERLAP
69,لا,laam Alif,لا,True,False,OVERLAP
70,ال,Al,ال,True,False,OVERLAP
71,هيكل عظمي,Skeleton,هيكل عظمي,False,False,NEW
72,جمجة,skull,جمجة,False,False,NEW
73,عمود فقري,Backbone,عمود فقري,False,False,NEW
74,قفص صدري,Chest,قفص صدري,False,False,NEW
75,جهاز تنفسي,Respiratory device,جهاز تنفسي,False,False,NEW
76,قصبة هوائية,Trachea,قصبة هوائية,False,False,NEW
77,رئتان,lungs,رئتان,False,False,NEW
78,شهيق - زفير,Ins and Outs,زفير | شهيق | شهيق زفير,False,False,NEW
79,جهاز هضمي,digestive system,جهاز هضمي,False,False,NEW
80,وجه,Face,وجه,True,False,OVERLAP
81,بلعوم,pharynx,بلعوم,False,False,NEW
82,كبد,liver,كبد,False,False,NEW
83,البنكرياس,pancreas,البنكرياس,False,False,NEW
84,الأمعاء الدقيقة,Small intestine,الامعاء الدقيقة,False,False,NEW
85,الأمعاء الغليظة,Large intestine,الامعاء الغليظة,False,False,NEW
86,الزائدة الدودية,Appendix,الزائدة الدودية,False,False,NEW
87,جهاز عصبي,nervous system,جهاز عصبي,False,False,NEW
88,قلب,heart,قلب,True,False,OVERLAP
89,حواس خمس,five senses,حواس خمس,False,False,NEW
90,عضلة,muscle,عضلة,False,False,NEW
91,أنسجة,tissue,انسجة,False,False,NEW
92,مستشفى,hospital,مستشفي,True,False,OVERLAP
93,إسعافات أولية,first aid,اسعافات اولية,False,False,NEW
94,جرح نازف,wound,جرح نازف,False,False,NEW
95,حروق,burning,حروق,False,False,NEW
96,مخدر/ بنج,anesthetist,بنج | مخدر | مخدر بنج,False,False,NEW
97,عملية جراحية,surgery,عملية جراحية,False,False,NEW
98,شاش / ضمادة,gauze,شاش | شاش ضمادة | ضمادة,False,False,NEW
99,شريط لاصق / بلاستر,adhesive tape,بلاستر | شريط لاصق | شريط لاصق بلاستر,False,False,NEW
100,صيدلية,pharmacy,صيدلية,False,False,NEW
101,تحليل دم,blood analysis,تحليل دم,False,False,NEW
102,فحص سريري,physical examination,فحص سريري,False,False,NEW
103,فحص النظر,sight examination,فحص النظر,False,False,NEW
104,ميزان حرارة,thermometer,ميزان حرارة,False,False,NEW
105,سماعة أذن,stethoscope,سماعة اذن,False,False,NEW
106,جهاز قياس الضغط,sphygmometroscope,جهاز قياس الضغط,False,False,NEW
107,نبض القلب,pulse,نبض القلب,False,False,NEW
108,تحليل طبي,analysis,تحليل طبي,False,False,NEW
