sample_id,relative_path,signer,source_split,split,sign_id,label_ar,label_en,frames,fps,width,height,face_rate,pose_rate,left_hand_rate,right_hand_rate,shard,shard_row,best_hand_rate
karsl_01_train_0031_01_01_0031_17_11_16_17_26_48_c_mp4,01/train/0031/01_01_0031_(17_11_16_17_26_48)_c.mp4,1,train,train,31,10000000,10000000,21,30.0,1920,1080,1.0,1.0,0.4761904776096344,0.4761904776096344,shard_00006.npz,34,0.4761904776096344
karsl_01_train_0031_01_01_0031_17_11_16_17_26_53_c_mp4,01/train/0031/01_01_0031_(17_11_16_17_26_53)_c.mp4,1,train,train,31,10000000,10000000,22,30.0,1920,1080,1.0,1.0,0.4545454680919647,0.4545454680919647,shard_00006.npz,37,0.4545454680919647
karsl_01_train_0031_01_01_0031_17_11_16_17_27_25_c_mp4,01/train/0031/01_01_0031_(17_11_16_17_27_25)_c.mp4,1,train,train,31,10000000,10000000,22,30.0,1920,1080,1.0,1.0,0.0,0.0,shard_00006.npz,53,0.0
karsl_01_train_0031_01_01_0031_17_11_16_17_27_27_c_mp4,01/train/0031/01_01_0031_(17_11_16_17_27_27)_c.mp4,1,train,train,31,10000000,10000000,25,30.0,1920,1080,1.0,1.0,0.0,0.3600000143051147,shard_00006.npz,54,0.3600000143051147
karsl_01_train_0031_01_01_0031_17_11_16_17_27_31_c_mp4,01/train/0031/01_01_0031_(17_11_16_17_27_31)_c.mp4,1,train,train,31,10000000,10000000,20,30.0,1920,1080,1.0,1.0,0.2000000029802322,0.0,shard_00006.npz,56,0.2000000029802322
karsl_01_train_0031_01_01_0031_17_11_16_17_27_32_c_mp4,01/train/0031/01_01_0031_(17_11_16_17_27_32)_c.mp4,1,train,train,31,10000000,10000000,21,30.0,1920,1080,1.0,1.0,0.4285714328289032,0.0,shard_00006.npz,57,0.4285714328289032
karsl_01_train_0031_01_01_0031_17_11_16_17_27_39_c_mp4,01/train/0031/01_01_0031_(17_11_16_17_27_39)_c.mp4,1,train,train,31,10000000,10000000,21,30.0,1920,1080,1.0,1.0,0.380952388048172,0.0,shard_00006.npz,60,0.380952388048172
karsl_01_train_0031_01_01_0031_17_11_16_17_27_41_c_mp4,01/train/0031/01_01_0031_(17_11_16_17_27_41)_c.mp4,1,train,train,31,10000000,10000000,18,30.0,1920,1080,1.0,1.0,0.0555555559694767,0.0,shard_00006.npz,61,0.0555555559694767
karsl_01_train_0031_01_01_0031_17_11_16_17_27_42_c_mp4,01/train/0031/01_01_0031_(17_11_16_17_27_42)_c.mp4,1,train,train,31,10000000,10000000,21,30.0,1920,1080,1.0,1.0,0.0,0.0,shard_00006.npz,62,0.0
karsl_01_train_0031_01_01_0031_17_11_16_17_27_44_c_mp4,01/train/0031/01_01_0031_(17_11_16_17_27_44)_c.mp4,1,train,train,31,10000000,10000000,18,30.0,1920,1080,1.0,1.0,0.0,0.0,shard_00006.npz,63,0.0
karsl_01_train_0031_01_01_0031_17_11_16_17_27_46_c_mp4,01/train/0031/01_01_0031_(17_11_16_17_27_46)_c.mp4,1,train,train,31,10000000,10000000,22,30.0,1920,1080,1.0,1.0,0.3636363744735718,0.0,shard_00006.npz,64,0.3636363744735718
karsl_01_train_0031_01_01_0031_17_11_16_17_27_49_c_mp4,01/train/0031/01_01_0031_(17_11_16_17_27_49)_c.mp4,1,train,train,31,10000000,10000000,20,30.0,1920,1080,1.0,1.0,0.1500000059604644,0.0,shard_00006.npz,65,0.1500000059604644
karsl_01_train_0031_01_01_0031_17_11_16_17_27_51_c_mp4,01/train/0031/01_01_0031_(17_11_16_17_27_51)_c.mp4,1,train,train,31,10000000,10000000,24,30.0,1920,1080,1.0,1.0,0.0,0.0,shard_00006.npz,66,0.0
karsl_01_train_0031_01_01_0031_17_11_16_17_27_54_c_mp4,01/train/0031/01_01_0031_(17_11_16_17_27_54)_c.mp4,1,train,train,31,10000000,10000000,22,30.0,1920,1080,1.0,1.0,0.1818181872367859,0.0,shard_00006.npz,67,0.1818181872367859
karsl_01_train_0081_03_01_0081_01_12_16_16_20_51_c_mp4,01/train/0081/03_01_0081_(01_12_16_16_20_51)_c.mp4,1,train,train,81,بلعوم,pharynx,30,30.0,1920,1080,1.0,1.0,0.3666666746139526,0.0,shard_00014.npz,136,0.3666666746139526
karsl_01_train_0081_03_01_0081_01_12_16_16_22_30_c_mp4,01/train/0081/03_01_0081_(01_12_16_16_22_30)_c.mp4,1,train,train,81,بلعوم,pharynx,27,30.0,1920,1080,1.0,1.0,0.4444444477558136,0.0,shard_00014.npz,141,0.4444444477558136
karsl_01_train_0081_03_01_0081_01_12_16_16_22_49_c_mp4,01/train/0081/03_01_0081_(01_12_16_16_22_49)_c.mp4,1,train,train,81,بلعوم,pharynx,33,30.0,1920,1080,1.0,1.0,0.3030303120613098,0.0,shard_00014.npz,142,0.3030303120613098
karsl_01_train_0081_03_01_0081_01_12_16_16_22_54_c_mp4,01/train/0081/03_01_0081_(01_12_16_16_22_54)_c.mp4,1,train,train,81,بلعوم,pharynx,26,30.0,1920,1080,1.0,1.0,0.4615384638309479,0.0,shard_00014.npz,143,0.4615384638309479
karsl_01_train_0081_03_01_0081_01_12_16_16_23_15_c_mp4,01/train/0081/03_01_0081_(01_12_16_16_23_15)_c.mp4,1,train,train,81,بلعوم,pharynx,42,30.0,1920,1080,1.0,1.0,0.3333333432674408,0.0,shard_00014.npz,144,0.3333333432674408
karsl_01_train_0081_03_01_0081_01_12_16_16_23_19_c_mp4,01/train/0081/03_01_0081_(01_12_16_16_23_19)_c.mp4,1,train,train,81,بلعوم,pharynx,42,30.0,1920,1080,1.0,1.0,0.3333333432674408,0.0,shard_00014.npz,145,0.3333333432674408
karsl_01_train_0081_03_01_0081_01_12_16_16_23_24_c_mp4,01/train/0081/03_01_0081_(01_12_16_16_23_24)_c.mp4,1,train,train,81,بلعوم,pharynx,34,30.0,1920,1080,1.0,1.0,0.4117647111415863,0.0,shard_00014.npz,146,0.4117647111415863
karsl_01_train_0081_03_01_0081_01_12_16_16_23_28_c_mp4,01/train/0081/03_01_0081_(01_12_16_16_23_28)_c.mp4,1,train,train,81,بلعوم,pharynx,41,30.0,1920,1080,1.0,1.0,0.3902438879013061,0.0,shard_00014.npz,147,0.3902438879013061
karsl_01_train_0081_03_01_0081_01_12_16_16_23_32_c_mp4,01/train/0081/03_01_0081_(01_12_16_16_23_32)_c.mp4,1,train,train,81,بلعوم,pharynx,35,30.0,1920,1080,1.0,1.0,0.342857152223587,0.0,shard_00014.npz,148,0.342857152223587
karsl_01_train_0081_03_01_0081_01_12_16_16_23_36_c_mp4,01/train/0081/03_01_0081_(01_12_16_16_23_36)_c.mp4,1,train,train,81,بلعوم,pharynx,35,30.0,1920,1080,1.0,1.0,0.4285714328289032,0.0,shard_00014.npz,149,0.4285714328289032
karsl_01_train_0081_03_01_0081_01_12_16_16_23_45_c_mp4,01/train/0081/03_01_0081_(01_12_16_16_23_45)_c.mp4,1,train,train,81,بلعوم,pharynx,43,30.0,1920,1080,1.0,1.0,0.4186046421527862,0.0,shard_00014.npz,150,0.4186046421527862
karsl_01_train_0081_03_01_0081_01_12_16_16_23_49_c_mp4,01/train/0081/03_01_0081_(01_12_16_16_23_49)_c.mp4,1,train,train,81,بلعوم,pharynx,37,30.0,1920,1080,1.0,1.0,0.3243243098258972,0.0,shard_00014.npz,151,0.3243243098258972
karsl_01_train_0081_03_01_0081_01_12_16_16_24_08_c_mp4,01/train/0081/03_01_0081_(01_12_16_16_24_08)_c.mp4,1,train,train,81,بلعوم,pharynx,37,30.0,1920,1080,1.0,1.0,0.4324324429035187,0.0,shard_00014.npz,154,0.4324324429035187
karsl_01_train_0100_03_01_0100_01_12_16_17_47_04_c_mp4,01/train/0100/03_01_0100_(01_12_16_17_47_04)_c.mp4,1,train,train,100,صيدلية,pharmacy,37,30.0,1920,1080,1.0,1.0,0.4594594538211822,0.4594594538211822,shard_00017.npz,204,0.4594594538211822
karsl_01_train_0105_03_01_0105_24_11_16_18_21_27_c_mp4,01/train/0105/03_01_0105_(24_11_16_18_21_27)_c.mp4,1,train,train,105,سماعة أذن,stethoscope,28,30.0,1920,1080,0.0,1.0,0.2857142984867096,0.0,shard_00018.npz,166,0.2857142984867096
karsl_01_train_0105_03_01_0105_24_11_16_18_21_30_c_mp4,01/train/0105/03_01_0105_(24_11_16_18_21_30)_c.mp4,1,train,train,105,سماعة أذن,stethoscope,22,30.0,1920,1080,0.0,1.0,0.2272727340459823,0.0,shard_00018.npz,167,0.2272727340459823
karsl_01_train_0105_03_01_0105_24_11_16_18_21_48_c_mp4,01/train/0105/03_01_0105_(24_11_16_18_21_48)_c.mp4,1,train,train,105,سماعة أذن,stethoscope,22,30.0,1920,1080,0.0,1.0,0.2727272808551788,0.0,shard_00018.npz,172,0.2727272808551788
karsl_01_train_0105_03_01_0105_24_11_16_18_21_23_c_mp4,01/train/0105/03_01_0105_(24_11_16_18_21_23)_c.mp4,1,train,train,105,سماعة أذن,stethoscope,35,30.0,1920,1080,0.0,1.0,0.4571428596973419,0.0,shard_00018.npz,177,0.4571428596973419
karsl_01_train_0158_03_01_0158_06_04_17_17_50_40_c_mp4,01/train/0158/03_01_0158_(06_04_17_17_50_40)_c.mp4,1,train,train,158,عصب,nerve,34,30.0,1920,1080,1.0,1.0,0.3823529481887817,0.4705882370471954,shard_00027.npz,139,0.4705882370471954
karsl_01_train_0158_03_01_0158_06_04_17_17_50_50_c_mp4,01/train/0158/03_01_0158_(06_04_17_17_50_50)_c.mp4,1,train,train,158,عصب,nerve,34,30.0,1920,1080,1.0,1.0,0.3823529481887817,0.4117647111415863,shard_00027.npz,143,0.4117647111415863
karsl_01_train_0406_03_01_0406_15_08_18_23_10_22_c_mp4,01/train/0406/03_01_0406_(15_08_18_23_10_22)_c.mp4,1,train,train,406,منى,Mona,39,30.0,1920,1080,1.0,1.0,0.4871794879436493,0.4871794879436493,shard_00068.npz,244,0.4871794879436493
karsl_01_train_0406_03_01_0406_15_08_18_23_11_13_c_mp4,01/train/0406/03_01_0406_(15_08_18_23_11_13)_c.mp4,1,train,train,406,منى,Mona,45,30.0,1920,1080,1.0,1.0,0.3555555641651153,0.422222226858139,shard_00069.npz,6,0.422222226858139
karsl_01_train_0449_03_01_0449_03_10_18_18_29_10_c_mp4,01/train/0449/03_01_0449_(03_10_18_18_29_10)_c.mp4,1,train,train,449,أمانة,honesty,38,30.0,1920,1080,0.0,1.0,0.2368421107530594,0.2368421107530594,shard_00076.npz,49,0.2368421107530594
karsl_01_train_0449_03_01_0449_03_10_18_18_29_59_c_mp4,01/train/0449/03_01_0449_(03_10_18_18_29_59)_c.mp4,1,train,train,449,أمانة,honesty,34,30.0,1920,1080,0.0,1.0,0.0882352963089943,0.4411764740943908,shard_00076.npz,58,0.4411764740943908
karsl_01_train_0449_03_01_0449_03_10_18_18_30_02_c_mp4,01/train/0449/03_01_0449_(03_10_18_18_30_02)_c.mp4,1,train,train,449,أمانة,honesty,34,30.0,1920,1080,0.0,1.0,0.1176470592617988,0.4117647111415863,shard_00076.npz,59,0.4117647111415863
karsl_01_train_0449_03_01_0449_03_10_18_18_30_06_c_mp4,01/train/0449/03_01_0449_(03_10_18_18_30_06)_c.mp4,1,train,train,449,أمانة,honesty,35,30.0,1920,1080,0.0,1.0,0.2285714298486709,0.4857142865657806,shard_00076.npz,61,0.4857142865657806
