sample_id,relative_path,signer,source_split,split,sign_id,label_ar,label_en,frames,fps,width,height,face_rate,pose_rate,left_hand_rate,right_hand_rate,shard,shard_row
karsl_01_train_0001_01_01_0001_10_11_16_16_20_46_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_46)_c.mp4,01,train,train,0001,0,0,16,30.0,1920,1080,1.0,1.0,1.0,1.0,shard_00000.npz,0
karsl_01_train_0001_01_01_0001_10_11_16_16_20_48_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_48)_c.mp4,01,train,train,0001,0,0,17,30.0,1920,1080,1.0,1.0,1.0,1.0,shard_00000.npz,1
karsl_01_train_0001_01_01_0001_10_11_16_16_20_50_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_50)_c.mp4,01,train,train,0001,0,0,14,30.0,1920,1080,1.0,1.0,1.0,1.0,shard_00000.npz,2
karsl_01_train_0001_01_01_0001_10_11_16_16_20_51_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_51)_c.mp4,01,train,train,0001,0,0,15,30.0,1920,1080,1.0,1.0,1.0,1.0,shard_00000.npz,3
karsl_01_train_0001_01_01_0001_10_11_16_16_20_34_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_34)_c.mp4,01,train,train,0001,0,0,19,30.0,1920,1080,1.0,1.0,1.0,1.0,shard_00000.npz,4
karsl_01_train_0001_01_01_0001_10_11_16_16_20_36_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_36)_c.mp4,01,train,train,0001,0,0,22,30.0,1920,1080,1.0,1.0,1.0,1.0,shard_00000.npz,5
karsl_01_train_0001_01_01_0001_10_11_16_16_20_42_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_42)_c.mp4,01,train,train,0001,0,0,16,30.0,1920,1080,1.0,1.0,1.0,1.0,shard_00000.npz,6
karsl_01_train_0001_01_01_0001_10_11_16_16_20_44_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_44)_c.mp4,01,train,train,0001,0,0,16,30.0,1920,1080,1.0,1.0,1.0,1.0,shard_00000.npz,7
karsl_01_train_0001_01_01_0001_10_11_16_16_21_17_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_17)_c.mp4,01,train,train,0001,0,0,19,30.0,1920,1080,1.0,1.0,1.0,1.0,shard_00000.npz,8
karsl_01_train_0001_01_01_0001_10_11_16_16_21_19_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_19)_c.mp4,01,train,train,0001,0,0,17,30.0,1920,1080,1.0,1.0,1.0,1.0,shard_00000.npz,9
karsl_01_train_0001_01_01_0001_10_11_16_16_21_20_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_20)_c.mp4,01,train,train,0001,0,0,19,30.0,1920,1080,1.0,1.0,1.0,1.0,shard_00000.npz,10
karsl_01_train_0001_01_01_0001_10_11_16_16_21_24_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_24)_c.mp4,01,train,train,0001,0,0,17,30.0,1920,1080,1.0,1.0,1.0,1.0,shard_00000.npz,11
karsl_01_train_0001_01_01_0001_10_11_16_16_20_53_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_53)_c.mp4,01,train,train,0001,0,0,19,30.0,1920,1080,1.0,1.0,1.0,0.7894737124443054,shard_00000.npz,12
karsl_01_train_0001_01_01_0001_10_11_16_16_21_12_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_12)_c.mp4,01,train,train,0001,0,0,22,30.0,1920,1080,1.0,1.0,1.0,1.0,shard_00000.npz,13
