label,video,signer_id,repetition_id,frames,fps,duration_seconds,feature_shape,face_rate,pose_rate,left_hand_rate,right_hand_rate,processing_seconds,status,error
&,&_01_1.mov,01,1,175,30.0,5.83,"(175, 1629)",100.0,100.0,55.43,0.0,9.93,success,
&,&_01_2.mov,01,2,160,30.0,5.33,"(160, 1629)",100.0,100.0,41.88,0.0,10.65,success,
&,&_02_1.mov,02,1,223,30.0,7.43,"(223, 1629)",100.0,100.0,42.6,0.0,13.6,success,
&,&_02_2.mov,02,2,166,30.0,5.53,"(166, 1629)",100.0,100.0,35.54,0.0,12.72,success,
&,&_05_1.mov,05,1,142,30.0,4.73,"(142, 1629)",100.0,100.0,46.48,0.7,8.79,success,
&,&_05_2.mov,05,2,141,30.0,4.7,"(141, 1629)",100.0,100.0,44.68,0.0,5.63,success,
++,++_02_1.mov,02,1,79,30.0,2.63,"(79, 1629)",100.0,100.0,32.91,35.44,2.83,success,
++,++_02_2.mov,02,2,124,30.0,4.13,"(124, 1629)",100.0,100.0,53.23,53.23,4.37,success,
++,++_03_1.mov,03,1,107,30.0,3.57,"(107, 1629)",100.0,100.0,38.32,36.45,9.4,success,
++,++_03_2.mov,03,2,153,30.0,5.1,"(153, 1629)",100.0,100.0,50.98,48.37,9.56,success,
++,++_06_1.mov,06,1,97,30.0,3.23,"(97, 1629)",100.0,100.0,30.93,29.9,6.01,success,
++,++_06_2.mov,06,2,106,30.0,3.53,"(106, 1629)",100.0,100.0,44.34,44.34,3.8,success,
- -,- -_02_1.mov,02,1,82,30.0,2.73,"(82, 1629)",100.0,100.0,37.8,0.0,2.91,success,
- -,- -_02_2.mov,02,2,139,30.0,4.63,"(139, 1629)",100.0,100.0,53.24,0.0,4.86,success,
- -,- -_03_1.mov,03,1,118,30.0,3.93,"(118, 1629)",100.0,100.0,46.61,0.0,8.72,success,
- -,- -_03_2.mov,03,2,137,30.0,4.57,"(137, 1629)",100.0,100.0,51.09,0.0,4.94,success,
- -,- -_06_1.mov,06,1,94,30.0,3.13,"(94, 1629)",100.0,100.0,34.04,0.0,5.99,success,
- -,- -_06_2.mov,06,2,114,30.0,3.8,"(114, 1629)",100.0,100.0,45.61,0.0,7.21,success,
_p,_p_02_1.mov,02,1,145,30.0,4.83,"(145, 1629)",100.0,100.0,55.17,0.69,9.08,success,
_p,_p_02_2.mov,02,2,160,30.0,5.33,"(160, 1629)",100.0,100.0,51.88,1.88,10.06,success,
_p,_p_03_1.mov,03,1,151,30.0,5.03,"(151, 1629)",100.0,100.0,43.71,0.0,5.34,success,
_p,_p_03_2.mov,03,2,229,30.0,7.63,"(229, 1629)",100.0,100.0,57.21,0.0,10.3,success,
_p,_p_05_1.mov,05,1,132,30.0,4.4,"(132, 1629)",100.0,100.0,35.61,1.52,4.69,success,
_p,_p_05_2.mov,05,2,142,30.0,4.73,"(142, 1629)",100.0,100.0,50.0,0.0,5.18,success,
Access,Access_02_1.mov,02,1,105,30.0,3.5,"(105, 1629)",100.0,100.0,33.33,56.19,6.44,success,
Access,Access_02_2.mov,02,2,214,30.0,7.13,"(214, 1629)",100.0,100.0,32.71,46.73,7.38,success,
Access,Access_03_1.mov,03,1,116,30.0,3.87,"(116, 1629)",100.0,100.0,50.0,50.86,4.2,success,
Access,Access_03_2.mov,03,2,164,30.0,5.47,"(164, 1629)",100.0,100.0,57.93,50.0,5.8,success,
Access,Access_06_1.mov,06,1,96,30.0,3.2,"(96, 1629)",100.0,100.0,28.12,33.33,3.53,success,
Access,Access_06_2.mov,06,2,119,30.0,3.97,"(119, 1629)",100.0,100.0,42.02,42.86,4.37,success,
Act,Act_01_1.mov,01,1,118,30.0,3.93,"(118, 1629)",100.0,100.0,44.07,48.31,4.33,success,
Act,Act_01_2.mov,01,2,165,30.0,5.5,"(165, 1629)",100.0,100.0,44.85,57.58,8.48,success,
Act,Act_02_1.mov,02,1,145,30.0,4.83,"(145, 1629)",100.0,100.0,48.97,53.1,5.22,success,
Act,Act_02_2.mov,02,2,157,30.0,5.23,"(157, 1629)",100.0,100.0,58.6,64.33,5.56,success,
Act,Act_07_1.mp4,07,1,59,25.0,2.36,"(59, 1629)",100.0,100.0,76.27,79.66,1.5,success,
Add,Add_03_1.mov,03,1,108,30.0,3.6,"(108, 1629)",100.0,100.0,42.59,0.0,3.88,success,
Add,Add_03_2.mov,03,2,133,30.0,4.43,"(133, 1629)",100.0,100.0,40.6,0.0,7.2,success,
Add,Add_05_1.mov,05,1,119,30.0,3.97,"(119, 1629)",100.0,100.0,38.66,0.0,7.45,success,
Add,Add_05_2.mov,05,2,126,30.0,4.2,"(126, 1629)",100.0,100.0,38.1,0.0,7.12,success,
Add,Add_06_1.mov,06,1,112,30.0,3.73,"(112, 1629)",100.0,100.0,32.14,0.0,4.01,success,
Add,Add_06_2.mov,06,2,120,30.0,4.0,"(120, 1629)",100.0,100.0,37.5,0.0,4.31,success,
Address,Address_02_1.mov,02,1,158,30.0,5.27,"(158, 1629)",100.0,100.0,45.57,39.87,5.6,success,
Address,Address_02_2.mov,02,2,243,30.0,8.1,"(243, 1629)",100.0,100.0,48.15,35.39,8.39,success,
