sample_index,split,label,original_label_id,unified_token_id,signer_id,video,original_active_frames,prepared_frames,start,end
0,test,&,0,682,01,&_01_1.mov,132,132,0,132
1,test,&,0,682,01,&_01_2.mov,125,125,132,257
2,train,&,0,682,02,&_02_1.mov,158,158,257,415
3,train,&,0,682,02,&_02_2.mov,97,97,415,512
4,validation,&,0,682,05,&_05_1.mov,89,89,512,601
5,validation,&,0,682,05,&_05_2.mov,99,99,601,700
6,train,++,1,683,02,++_02_1.mov,56,56,700,756
7,train,++,1,683,02,++_02_2.mov,95,95,756,851
8,test,++,1,683,03,++_03_1.mov,71,71,851,922
9,test,++,1,683,03,++_03_2.mov,112,112,922,1034
10,train,++,1,683,06,++_06_1.mov,54,54,1034,1088
11,train,++,1,683,06,++_06_2.mov,72,72,1088,1160
12,train,- -,2,684,02,- -_02_1.mov,64,64,1160,1224
13,train,- -,2,684,02,- -_02_2.mov,111,111,1224,1335
14,test,- -,2,684,03,- -_03_1.mov,85,85,1335,1420
15,test,- -,2,684,03,- -_03_2.mov,114,114,1420,1534
16,train,- -,2,684,06,- -_06_1.mov,59,59,1534,1593
17,train,- -,2,684,06,- -_06_2.mov,79,79,1593,1672
18,train,_p,3,685,02,_p_02_1.mov,121,121,1672,1793
19,train,_p,3,685,02,_p_02_2.mov,120,120,1793,1913
20,test,_p,3,685,03,_p_03_1.mov,104,104,1913,2017
21,test,_p,3,685,03,_p_03_2.mov,171,171,2017,2188
22,validation,_p,3,685,05,_p_05_1.mov,91,91,2188,2279
23,validation,_p,3,685,05,_p_05_2.mov,100,100,2279,2379
24,train,Access,4,686,02,Access_02_1.mov,98,98,2379,2477
25,train,Access,4,686,02,Access_02_2.mov,163,163,2477,2640
26,test,Access,4,686,03,Access_03_1.mov,88,88,2640,2728
27,test,Access,4,686,03,Access_03_2.mov,132,132,2728,2860
28,train,Access,4,686,06,Access_06_1.mov,61,61,2860,2921
29,train,Access,4,686,06,Access_06_2.mov,83,83,2921,3004
30,test,Act,5,687,01,Act_01_1.mov,113,113,3004,3117
31,test,Act,5,687,01,Act_01_2.mov,121,121,3117,3238
32,train,Act,5,687,02,Act_02_1.mov,99,99,3238,3337
33,train,Act,5,687,02,Act_02_2.mov,126,126,3337,3463
34,train,Act,5,687,07,Act_07_1.mp4,58,58,3463,3521
35,test,Add,6,688,03,Add_03_1.mov,81,81,3521,3602
36,test,Add,6,688,03,Add_03_2.mov,91,91,3602,3693
37,validation,Add,6,688,05,Add_05_1.mov,71,71,3693,3764
38,validation,Add,6,688,05,Add_05_2.mov,79,79,3764,3843
39,train,Add,6,688,06,Add_06_1.mov,60,60,3843,3903
40,train,Add,6,688,06,Add_06_2.mov,71,71,3903,3974
41,train,Address,7,689,02,Address_02_1.mov,131,131,3974,4105
42,train,Address,7,689,02,Address_02_2.mov,198,198,4105,4303
43,test,Address,7,689,03,Address_03_1.mov,105,105,4303,4408
44,test,Address,7,689,03,Address_03_2.mov,162,162,4408,4570
45,train,Address,7,689,06,Address_06_1.mov,72,72,4570,4642
46,train,Address,7,689,06,Address_06_2.mov,115,115,4642,4757
47,test,After,8,690,01,After_01_1.mov,66,66,4757,4823
48,test,After,8,690,01,After_01_2.mov,133,133,4823,4956
49,validation,After,8,690,05,After_05_1.mov,79,79,4956,5035
50,validation,After,8,690,05,After_05_2.mov,82,82,5035,5117
51,train,After,8,690,06,After_06_1.mov,59,59,5117,5176
52,train,After,8,690,06,After_06_2.mov,99,99,5176,5275
53,test,Apply,9,691,03,apply_03_1.MOV,162,162,5275,5437
54,test,Apply,9,691,03,apply_03_2.MOV,88,88,5437,5525
55,validation,Apply,9,691,05,apply_05_1.MOV,75,75,5525,5600
56,validation,Apply,9,691,05,apply_05_2.MOV,90,90,5600,5690
57,train,Apply,9,691,06,apply_06_1.MOV,63,63,5690,5753
58,train,Apply,9,691,06,apply_06_2.MOV,70,70,5753,5823
59,test,Array,10,692,03,Array_03_1.mov,79,79,5823,5902
60,test,Array,10,692,03,Array_03_2.mov,76,76,5902,5978
61,validation,Array,10,692,05,Array_05_1.mov,86,86,5978,6064
62,validation,Array,10,692,05,Array_05_2.mov,100,100,6064,6164
63,train,Array,10,692,06,Array_06_1.mov,75,75,6164,6239
64,train,Array,10,692,06,Array_06_2.mov,86,86,6239,6325
65,train,Arrow,11,693,02,Arrow_02_1.mov,91,91,6325,6416
66,train,Arrow,11,693,02,Arrow_02_2.mov,161,161,6416,6577
67,test,Arrow,11,693,03,Arrow_03_1.mov,80,80,6577,6657
68,test,Arrow,11,693,03,Arrow_03_2.mov,132,132,6657,6789
69,train,Arrow,11,693,06,Arrow_06_1.mov,65,65,6789,6854
70,train,Arrow,11,693,06,Arrow_06_2.mov,80,80,6854,6934
71,test,Average,12,694,01,Average_01_1.mov,96,96,6934,7030
72,test,Average,12,694,01,Average_01_2.mov,156,156,7030,7186
73,validation,Average,12,694,05,Average_05_1.mov,80,80,7186,7266
74,validation,Average,12,694,05,Average_05_2.mov,117,117,7266,7383
75,train,Average,12,694,06,Average_06_1.mov,90,90,7383,7473
76,train,Average,12,694,06,Average_06_2.mov,103,103,7473,7576
77,test,Before,13,695,01,Before_01_1.mov,67,67,7576,7643
78,test,Before,13,695,01,Before_01_2.mov,139,139,7643,7782
79,validation,Before,13,695,05,Before_05_1.mov,65,65,7782,7847
80,validation,Before,13,695,05,Before_05_2.mov,103,103,7847,7950
81,train,Before,13,695,06,Before_06_1.mov,52,52,7950,8002
82,train,Before,13,695,06,Before_06_2.mov,66,66,8002,8068
83,test,Big,14,696,01,Big_01_1.mov,76,76,8068,8144
84,test,Big,14,696,01,Big_01_2.mov,123,123,8144,8267
85,validation,Big,14,696,05,Big_05_1.mov,68,68,8267,8335
86,validation,Big,14,696,05,Big_05_2.mov,83,83,8335,8418
87,train,Big,14,696,06,Big_06_1.mov,55,55,8418,8473
88,train,Big,14,696,06,Big_06_2.mov,76,76,8473,8549
89,train,Binary relationship,15,697,02,Binary relationship_02_1.mov,129,129,8549,8678
90,train,Binary relationship,15,697,02,Binary relationship_02_2.mov,223,200,8678,8878
91,test,Binary relationship,15,697,03,Binary relationship_03_1.mov,134,134,8878,9012
92,test,Binary relationship,15,697,03,Binary relationship_03_2.mov,201,200,9012,9212
93,validation,Binary relationship,15,697,05,Binary relationship_05_1.mov,116,116,9212,9328
94,validation,Binary relationship,15,697,05,Binary relationship_05_2.mov,163,163,9328,9491
