sample_id,relative_path,split,signer,source_split,sign_id,label_ar,label_en,unified_token,unified_token_id,start,end,frames,face_rate,pose_rate,left_hand_rate,right_hand_rate,best_hand_rate,quality_score,train_eligible
karsl_01_train_0001_01_01_0001_10_11_16_16_20_46_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_46)_c.mp4,train,01,train,0001,0,0,0,847,0,16,16,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_20_48_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_48)_c.mp4,train,01,train,0001,0,0,0,847,16,33,17,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_20_50_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_50)_c.mp4,train,01,train,0001,0,0,0,847,33,47,14,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_20_51_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_51)_c.mp4,train,01,train,0001,0,0,0,847,47,62,15,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_20_34_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_34)_c.mp4,train,01,train,0001,0,0,0,847,62,81,19,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_20_36_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_36)_c.mp4,train,01,train,0001,0,0,0,847,81,103,22,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_20_42_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_42)_c.mp4,train,01,train,0001,0,0,0,847,103,119,16,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_20_44_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_20_44)_c.mp4,train,01,train,0001,0,0,0,847,119,135,16,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_21_17_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_17)_c.mp4,train,01,train,0001,0,0,0,847,135,154,19,1.0,1.0,1.0,1.0,1.0,1.0,True
karsl_01_train_0001_01_01_0001_10_11_16_16_21_19_c_mp4,01/train/0001/01_01_0001_(10_11_16_16_21_19)_c.mp4,train,01,train,0001,0,0,0,847,154,171,17,1.0,1.0,1.0,1.0,1.0,1.0,True
