sign_id,label_ar,label_en,unified_token,unified_token_id,status
0001,0,0,0,847,new_token
0002,1,1,1,848,new_token
0003,2,2,2,849,new_token
0004,3,3,3,850,new_token
0005,4,4,4,851,new_token
0006,5,5,5,852,new_token
0007,6,6,6,853,new_token
0008,7,7,7,854,new_token
0009,8,8,8,855,new_token
0010,9,9,9,856,new_token
0011,10,10,10,857,new_token
0012,20,20,20,858,new_token
0013,30,30,30,859,new_token
0014,40,40,40,860,new_token
0015,50,50,50,861,new_token
0016,60,60,60,862,new_token
0017,70,70,70,863,new_token
0018,80,80,80,864,new_token
0019,90,90,90,865,new_token
0020,100,100,100,866,new_token
0021,200,200,200,867,new_token
0022,300,300,300,868,new_token
0023,400,400,400,869,new_token
0024,500,500,500,870,new_token
0025,600,600,600,871,new_token
0026,700,700,700,872,new_token
0027,800,800,800,873,new_token
0028,900,900,900,874,new_token
0029,1000,1000,1000,875,new_token
0030,1000000,1000000,1000000,876,new_token
0031,10000000,10000000,10000000,877,new_token
0032,ا,alif,ا,2,existing_token
0033,ب,baa,ب,112,existing_token
0034,ت,ta,ت,139,existing_token
0035,ث,tha,ث,878,new_token
0036,ج,Jiim,ج,195,existing_token
0037,ح,Haa,ح,220,existing_token
0038,خ,kha,خ,250,existing_token
0039,د,daal,د,273,existing_token
0040,ذ,thal,ذ,879,new_token
0041,ر,raa,ر,297,existing_token
0042,ز,zay,ز,321,existing_token
0043,س,siin,س,330,existing_token
0044,ش,shiin,ش,880,new_token
0045,ص,Saad,ص,881,new_token
0046,ض,Daad,ض,882,new_token
0047,ط,Taa,ط,883,new_token
0048,ظ,Zaa,ظ,884,new_token
0049,ع,Ayn,ع,433,existing_token
0050,غ,ghayn,غ,885,new_token
0051,ف,faa,ف,886,new_token
0052,ق,qaaf,ق,492,existing_token
0053,ك,kaaf,ك,887,new_token
0054,ل,laam,ل,545,existing_token
0055,م,miim,م,559,existing_token
0056,ن,noon,ن,634,existing_token
0057,ه,haa,ه,654,existing_token
0058,و,waaw,و,662,existing_token
0059,ي,yaa,ي,677,existing_token
0060,ة,taa marbuuTa,ة,888,new_token
0061,أ,alif with hamza above,ا,2,existing_token
0062,ؤ,Waaw with hamza,ؤ,889,new_token
0063,ئ,Alif maqsoura with hamza,ئ,890,new_token
0064,ئـ,hamza on line,ئـ,891,new_token
0065,ء,hamza,ء,892,new_token
0066,إ,alif with hamza below,ا,2,existing_token
0067,آ,ALif with maad,ا,2,existing_token
0068,ى,Alif maqsoura,ي,677,existing_token
0069,لا,laam Alif,لا,546,existing_token
0070,ال,Al,ال,69,existing_token
0071,هيكل عظمي,Skeleton,هيكل_عظمي,893,new_token
0072,جمجة,skull,جمجة,894,new_token
0073,عمود فقري,Backbone,عمود_فقري,895,new_token
0074,قفص صدري,Chest,قفص_صدري,896,new_token
0075,جهاز تنفسي,Respiratory device,جهاز_تنفسي,897,new_token
0076,قصبة هوائية,Trachea,قصبة_هوائية,898,new_token
0077,رئتان,lungs,رئتان,899,new_token
0078,شهيق - زفير,Ins and Outs,شهيق_-_زفير,900,new_token
0079,جهاز هضمي,digestive system,جهاز_هضمي,901,new_token
0080,وجه,Face,وجه,665,existing_token
0081,بلعوم,pharynx,بلعوم,902,new_token
0082,كبد,liver,كبد,903,new_token
0083,البنكرياس,pancreas,البنكرياس,904,new_token
0084,الأمعاء الدقيقة,Small intestine,الأمعاء_الدقيقة,905,new_token
0085,الأمعاء الغليظة,Large intestine,الأمعاء_الغليظة,906,new_token
0086,الزائدة الدودية,Appendix,الزائدة_الدودية,907,new_token
0087,جهاز عصبي,nervous system,جهاز_عصبي,908,new_token
0088,قلب,heart,قلب,512,existing_token
0089,حواس خمس,five senses,حواس_خمس,909,new_token
0090,عضلة,muscle,عضلة,910,new_token
0091,أنسجة,tissue,أنسجة,911,new_token
0092,مستشفى,hospital,مستشفى,587,existing_token
0093,إسعافات أولية,first aid,إسعافات_أولية,912,new_token
0094,جرح نازف,wound,جرح_نازف,913,new_token
0095,حروق,burning,حروق,914,new_token
0096,مخدر/ بنج,anesthetist,مخدر_بنج,915,new_token
0097,عملية جراحية,surgery,عملية_جراحية,916,new_token
0098,شاش / ضمادة,gauze,شاش_ضمادة,917,new_token
0099,شريط لاصق / بلاستر,adhesive tape,شريط_لاصق_بلاستر,918,new_token
0100,صيدلية,pharmacy,صيدلية,919,new_token
